AGE,1,2,3,4,5,6,7,8,9,10,11,12
91,7,5,11,2,10,4,6,9,8,3,12,1
92,2,7,5,11,9,3,10,4,1,12,8,6
93,12,8,7,5,2,11,9,1,6,10,3,4
94,10,12,2,8,11,5,4,6,9,7,1,3
95,8,6,12,10,5,7,1,3,4,11,2,9
96,6,2,3,12,7,9,5,10,11,1,4,9
97,1,9,10,6,12,2,7,5,3,4,8,11
98,4,1,6,8,10,12,11,2,9,7,3,5
99,9,4,1,2,6,8,12,11,5,3,10,7
100,3,10,8,1,5,7,6,12,2,9,11,4
101,11,3,9,4,1,6,8,10,7,5,12,2
102,5,11,3,9,4,1,2,6,8,12,7,10
103,7,5,11,3,9,4,1,8,12,10,2,6
104,2,7,5,11,3,9,10,1,6,8,4,12
105,12,2,4,5,11,3,9,7,10,6,1,8
106,10,12,2,7,8,5,3,9,4,11,6,1
107,8,6,12,10,7,11,4,3,1,2,5,9
108,6,8,7,12,2,10,5,4,11,1,9,3
109,1,9,10,6,12,2,7,11,5,3,4,8
110,4,1,6,8,10,12,3,5,7,2,11,9
111,9,4,1,2,5,8,12,10,6,7,3,11
112,3,10,8,9,11,7,4,1,2,12,6,5
113,11,3,9,4,1,6,2,7,10,5,8,12
114,5,11,3,1,4,10,6,8,12,9,7,2
115,7,5,11,3,9,4,1,12,8,10,2,6
116,2,7,5,11,3,9,10,6,4,8,12,1
117,12,2,4,5,6,1,8,9,3,11,10,7
118,10,12,2,7,8,11,9,3,1,6,5,4
119,8,6,12,10,7,5,11,2,9,4,1,3
120,6,8,7,12,2,3,5,4,11,1,9,10
